Test_Name,Result,Unit,Reference_Range,Min_Reference,Max_Reference,Status,Comment,Recommended_Followup
Ferritin,82.5,ug/L,15 - 150,15.0,150.0,Normal,,
Glikozile Hemoglobin (HbA1c),5.4,%,4 - 6,4.0,6.0,Normal,,
İnsülin,11.2,mU/L,2.6 - 24.9,2.6,24.9,Normal,,
Serbest T4,1.25,ng/dL,0.87 - 1.7,0.87,1.7,Normal,,
Trombosit,310,10^3/uL,150 - 450,150.0,450.0,Normal,,
Hemoglobin,13.4,g/dL,12 - 15,12.0,15.0,Normal,,
Ferritin,12.0,ug/L,15 - 150,15.0,150.0,Warning,Below reference range,
HbA1c,6.2,%,4 - 6,4.0,6.0,Warning,Above reference range,
Nötrofil%,72.5,%,50 - 70,50.0,70.0,Warning,Slightly above reference range,
Hemoglobin,11.6,g/dL,12 - 15,12.0,15.0,Warning,Slightly below reference range,
Glukoz,280,mg/dL,70 - 100,70.0,100.0,Critical,Markedly above reference range,
Trombosit,55,10^3/uL,150 - 450,150.0,450.0,Critical,Markedly below reference range,
Hemoglobin,7.8,g/dL,12 - 15,12.0,15.0,Critical,Markedly below reference range,
Serbest T4,0.35,ng/dL,0.87 - 1.7,0.87,1.7,Critical,Markedly below reference range,
Eritrosit (Strip),Negatif,-,Negatif,,,Normal,,
Protein (Strip),Negatif,mg/dL,Negatif,,,Normal,,
Nitrit (Strip),Negatif,-,Negatif,,,Normal,,
Lökosit (Strip),Negatif,Leu/uL,Negatif,,,Normal,,
Keton (Strip),Negatif,mg/dL,Negatif,,,Normal,,
Glukoz (Strip),Negatif,mg/dL,Negatif,,,Normal,,
Eritrosit (Strip),1+,-,Negatif,,,Warning,Positive erythrocytes where negative is expected,
Protein (Strip),1+,mg/dL,Negatif,,,Warning,Positive protein where negative is expected,
Nitrit (Strip),Pozitif,-,Negatif,,,Warning,Positive nitrite where negative is expected,
Glukoz (Strip),3+,mg/dL,Negatif,,,Critical,Strongly positive glucose where negative is expected,
Keton (Strip),3+,mg/dL,Negatif,,,Critical,Strongly positive ketones where negative is expected,
